Question,Answer
What are trust funds?,Money or property received by a broker on behalf of a client or another party in a real estate transaction.
What is the most common example of trust funds?,Earnest money deposits.
Who must maintain the trust account?,The broker.
Can a salesperson maintain their own trust account?,No. Only the broker may maintain the trust account.
Where must a broker’s trust account be located?,In a financial institution located in Ohio.
When must earnest money be deposited into the trust account?,By the next banking day after receipt.
Can earnest money be held uncashed by a salesperson?,No. It must be delivered to the broker and deposited properly.
What is commingling?,Mixing broker’s personal or business funds with client trust funds.
Is commingling legal in Ohio?,No. It is prohibited.
May a broker place personal funds into a trust account?,Only minimal funds necessary to maintain the account (e.g., bank fees).
What is conversion?,Using client trust funds for the broker’s own benefit.
Is conversion permitted?,No. It is a serious license law violation.
Who is responsible for proper handling of trust funds?,The broker.
What must happen if there is a dispute over earnest money?,Funds must remain in the trust account until written agreement of the parties or court order directs disbursement.
Can a broker decide unilaterally who receives disputed funds?,No.
What records must a broker maintain for trust accounts?,Detailed records of all receipts, deposits, and disbursements.
How long must transaction and trust records be retained?,At least 3 years.
How often must a broker reconcile the trust account?,Monthly.
What does reconciliation mean?,Comparing trust account bank balance with transaction ledger to ensure accuracy.
Can trust funds be placed into an operating account?,No. They must be kept separate.
Are rental security deposits considered trust funds?,Yes, when held by a broker on behalf of others.
Can a broker disburse trust funds before a transaction closes?,Only according to written agreement of the parties.
What is required when receiving funds in cash?,Proper documentation and timely deposit into the trust account.
Can a broker earn interest on a standard trust account?,No, unless it is a properly structured interest-bearing account as permitted by law.
What happens if a broker mishandles trust funds?,The broker may face disciplinary action, including fines, suspension, or revocation.